                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    111,                0.72237,                0.56959,                 1.0174,                0.97324,                0.97777,                0.98622,                0.69231,                 1.0589,                0.47054,                 1.2514,             0.00058203,             0.00058203,             0.00058203
                    112,                0.72764,                0.55277,                 1.0264,                0.98557,                0.98117,                0.98701,                0.70823,                 1.0724,                0.47462,                 1.2639,             0.00057903,             0.00057903,             0.00057903
                    113,                0.74392,                0.57869,                 1.0241,                0.94725,                0.98901,                0.98593,                 0.7405,                 0.9681,                0.47349,                 1.1851,             0.00057603,             0.00057603,             0.00057603
                    114,                0.70484,                0.54415,                 1.0091,                 0.9563,                0.94615,                0.96926,                0.73395,                0.97337,                0.49478,                 1.2204,             0.00057303,             0.00057303,             0.00057303
                    115,                0.69321,                0.54164,                 1.0031,                0.97673,                0.96315,                 0.9851,                0.71018,                 1.0295,                  0.504,                 1.2478,             0.00057003,             0.00057003,             0.00057003
                    116,                0.69728,                0.55887,                 1.0086,                0.97487,                0.95702,                0.98526,                0.71816,                 1.0102,                0.50828,                 1.2084,             0.00056703,             0.00056703,             0.00056703
                    117,                0.74103,                0.55956,                 1.0354,                0.97066,                0.91741,                0.95619,                0.72118,                0.97947,                0.48979,                 1.2139,             0.00056403,             0.00056403,             0.00056403
                    118,                0.71802,                0.55765,                 1.0172,                0.94567,                0.97063,                0.97392,                0.71184,                0.99141,                0.44619,                 1.1966,             0.00056103,             0.00056103,             0.00056103
                    119,                0.71933,                0.56983,                 1.0197,                0.92002,                 0.9164,                 0.9474,                0.72446,                0.98426,                0.49387,                  1.203,             0.00055804,             0.00055804,             0.00055804
                    120,                0.72085,                0.52511,                 1.0153,                0.95176,                0.93486,                0.96165,                0.69374,                 1.0839,                  0.569,                 1.2612,             0.00055504,             0.00055504,             0.00055504
                    121,                0.70059,                0.53141,                 1.0128,                0.96955,                0.96087,                0.97998,                0.72991,                0.97767,                0.45744,                 1.2068,             0.00055204,             0.00055204,             0.00055204
                    122,                0.71746,                0.53891,                 1.0137,                0.96986,                0.95726,                0.97368,                0.73673,                0.99822,                  0.489,                 1.1865,             0.00054904,             0.00054904,             0.00054904
                    123,                0.69044,                0.53368,                 0.9976,                0.94258,                0.96044,                0.95872,                0.71718,                0.99583,                 0.4903,                 1.2163,             0.00054604,             0.00054604,             0.00054604
                    124,                0.66546,                0.50711,                0.98708,                0.93747,                0.93918,                0.96313,                0.68695,                 1.0966,                0.51328,                 1.2445,             0.00054304,             0.00054304,             0.00054304
                    125,                0.69761,                0.52262,                0.99746,                 0.9199,                0.92627,                0.95535,                0.68785,                 1.0469,                0.51582,                  1.209,             0.00054004,             0.00054004,             0.00054004
                    126,                0.67982,                0.51916,                0.99592,                0.95086,                0.95223,                0.96716,                0.69639,                 1.0453,                0.47486,                 1.2414,             0.00053704,             0.00053704,             0.00053704
                    127,                0.68486,                0.49916,                 1.0005,                0.95481,                0.94546,                0.96833,                0.71845,                 1.0237,                0.48463,                 1.2341,             0.00053404,             0.00053404,             0.00053404
                    128,                0.68163,                0.52169,                  1.001,                0.97503,                0.98594,                0.98673,                0.71163,                 1.0346,                0.47962,                 1.2117,             0.00053104,             0.00053104,             0.00053104
                    129,                0.68657,                0.50446,                0.99701,                0.91633,                0.96016,                0.96082,                0.69968,                 1.0261,                0.51145,                 1.2142,             0.00052804,             0.00052804,             0.00052804
                    130,                0.66887,                0.51497,                0.99009,                0.96957,                0.94164,                0.94915,                 0.7182,                 1.0388,                0.47977,                 1.2354,             0.00052504,             0.00052504,             0.00052504
                    131,                0.66783,                0.49888,                0.98773,                0.95247,                0.92971,                0.95052,                0.69559,                 1.0773,                0.49823,                 1.2514,             0.00052204,             0.00052204,             0.00052204
                    132,                0.68984,                0.52265,                0.99453,                0.94222,                0.96902,                0.98401,                0.71552,                 1.0143,                 0.4823,                 1.2028,             0.00051904,             0.00051904,             0.00051904
                    133,                0.68988,                0.49564,                 1.0039,                0.96701,                0.95779,                 0.9708,                0.70934,                 1.0477,                0.49596,                 1.1926,             0.00051604,             0.00051604,             0.00051604
                    134,                0.66132,                0.49999,                0.99066,                0.98884,                0.94186,                 0.9573,                0.71276,                  1.067,                0.46139,                 1.2021,             0.00051304,             0.00051304,             0.00051304
                    135,                0.65888,                0.50061,                0.98555,                0.96378,                0.96905,                0.98255,                0.71525,                 1.0174,                0.49812,                 1.1538,             0.00051004,             0.00051004,             0.00051004
                    136,                0.64888,                0.47624,                0.97929,                0.96156,                0.98441,                0.98444,                0.73106,                0.96789,                 0.4704,                 1.1731,             0.00050704,             0.00050704,             0.00050704
                    137,                0.64501,                0.48651,                0.97722,                0.95659,                0.96538,                0.97821,                0.72692,                0.96981,                0.46535,                 1.1628,             0.00050404,             0.00050404,             0.00050404
                    138,                0.64702,                 0.4845,                0.97095,                0.98436,                0.96318,                0.98157,                  0.711,                0.99866,                0.45638,                 1.1926,             0.00050104,             0.00050104,             0.00050104
                    139,                 0.6823,                0.50916,                 1.0006,                0.92319,                0.94076,                0.97264,                0.71127,                 1.0523,                0.51471,                 1.2154,             0.00049804,             0.00049804,             0.00049804
                    140,                0.64114,                0.47371,                0.97239,                0.99308,                0.95517,                0.96992,                0.70526,                 1.0183,                 0.4862,                 1.1904,             0.00049504,             0.00049504,             0.00049504
                    141,                0.67254,                0.49882,                0.99129,                0.97143,                0.94249,                0.98105,                0.71066,                 1.0186,                0.48749,                 1.2397,             0.00049204,             0.00049204,             0.00049204
                    142,                0.64637,                0.47924,                0.98648,                0.96794,                0.97473,                0.98088,                0.70905,                 1.0075,                0.49014,                 1.1975,             0.00048904,             0.00048904,             0.00048904
                    143,                0.64647,                0.49684,                0.98308,                0.94223,                0.98009,                0.98224,                0.71865,                0.99093,                0.48814,                 1.1745,             0.00048604,             0.00048604,             0.00048604
                    144,                0.63952,                0.47466,                0.97951,                0.96783,                0.97473,                0.97731,                 0.7173,                  1.059,                0.44806,                 1.2378,             0.00048304,             0.00048304,             0.00048304
                    145,                0.64084,                0.48107,                0.98109,                0.98554,                0.97436,                0.97657,                 0.7224,                0.99808,                0.45881,                 1.1959,             0.00048004,             0.00048004,             0.00048004
                    146,                0.66791,                0.50164,                0.99354,                0.96982,                0.97473,                0.97256,                0.72583,                 1.0078,                0.44619,                 1.2118,             0.00047704,             0.00047704,             0.00047704
                    147,                0.65896,                0.49548,                 0.9944,                0.98475,                0.97438,                0.97374,                 0.6998,                 1.0092,                0.47555,                 1.1929,             0.00047404,             0.00047404,             0.00047404
